1	26	1697026206	1696487930	1	0	0	0	\N	{"alternative":"","description":"","link":"","title":"","crop":"","uid_local":"","hidden":"","sys_language_uid":""}	0	0	0	0	2	16	tt_content	image	1	\N	\N	\N		{"default":{"cropArea":{"x":0,"y":0,"width":1,"height":1},"selectedRatio":"NaN","focusArea":null}}	0	0
2	33	1697023700	1697023608	1	0	0	0	\N		0	0	0	0	2	18	tt_content	image	1	\N	\N	\N		{"default":{"cropArea":{"x":0,"y":0,"width":1,"height":1},"selectedRatio":"NaN","focusArea":null}}	0	0
3	33	1697025243	1697023700	1	0	0	0	\N	{"alternative":"","description":"","link":"","title":"","crop":"","uid_local":"","hidden":"","sys_language_uid":""}	0	0	0	0	3	18	tt_content	image	1	\N	\N	\N		{"default":{"cropArea":{"x":0,"y":0,"width":1,"height":1},"selectedRatio":"NaN","focusArea":null}}	0	0
4	33	1697025259	1697025243	1	0	0	0	\N		0	0	0	0	4	18	tt_content	image	1	\N	\N	\N		{"default":{"cropArea":{"x":0,"y":0,"width":1,"height":1},"selectedRatio":"NaN","focusArea":null}}	0	0
5	33	1697025578	1697025243	1	0	0	0	\N	{"alternative":"","description":"","link":"","title":"","crop":"","uid_local":"","hidden":"","sys_language_uid":""}	0	0	0	0	5	18	tt_content	image	1	\N	\N	\N		{"default":{"cropArea":{"x":0,"y":0,"width":1,"height":1},"selectedRatio":"NaN","focusArea":null}}	0	0
6	33	1697025655	1697025578	1	0	0	0	\N		0	0	0	0	3	18	tt_content	image	1	\N	\N	\N		{"default":{"cropArea":{"x":0,"y":0,"width":1,"height":1},"selectedRatio":"NaN","focusArea":null}}	0	0
7	33	1697025655	1697025655	0	0	0	0	\N		0	0	0	0	4	18	tt_content	image	1	\N	\N	\N		{"default":{"cropArea":{"x":0,"y":0,"width":1,"height":1},"selectedRatio":"NaN","focusArea":null}}	0	0
8	26	1741939064	1697026206	0	0	0	0	\N	{"alternative":"","description":"","link":"","title":"","crop":"","uid_local":"","hidden":"","sys_language_uid":""}	0	0	0	0	5	16	tt_content	image	1	\N	\N	\N		{"default":{"cropArea":{"x":0,"y":0,"width":1,"height":1},"selectedRatio":"NaN","focusArea":null}}	0	0
9	26	1697027409	1697027409	0	0	0	0	\N		0	0	0	0	4	19	tt_content	image	1	\N	\N	\N		{"default":{"cropArea":{"x":0,"y":0,"width":1,"height":1},"selectedRatio":"NaN","focusArea":null}}	0	0
10	26	1719843334	1719843334	0	0	0	0	\N		0	0	0	0	22	7	tx_news_domain_model_news	fal_media	1	\N	\N	\N		{"default":{"cropArea":{"x":0,"y":0,"width":1,"height":1},"selectedRatio":"NaN","focusArea":null}}	0	0
14	323	1775563109	1741947254	1	0	0	0	\N		0	0	0	0	26	3	tx_styleguide_elements_select_single_12_foreign	fal_1	0	\N	\N	\N		\N	0	0
15	323	1775563109	1741947254	1	0	0	0	\N		0	0	0	0	27	4	tx_styleguide_elements_select_single_12_foreign	fal_1	0	\N	\N	\N		\N	0	0
16	338	1775563109	1741947254	1	0	0	0	\N		0	0	0	0	26	2	tx_styleguide_file	file_1	0	\N	\N	\N		\N	0	0
17	483	1775563118	1741948624	1	0	0	0	\N		0	0	0	0	29	87	tt_content	media	0	\N	\N	\N		\N	0	0
18	44	1758555102	1758555078	0	0	0	0	\N	{"hidden":""}	0	0	0	0	2	99	tt_content	image	1	\N	\N	\N		{"default":{"cropArea":{"x":0,"y":0,"width":1,"height":1},"selectedRatio":"NaN","focusArea":null}}	0	0
19	44	1758555095	1758555086	0	0	1	18	\N	{"alternative":"","autoplay":"0","crop":"{\\"default\\":{\\"cropArea\\":{\\"x\\":0,\\"y\\":0,\\"width\\":1,\\"height\\":1},\\"selectedRatio\\":\\"NaN\\",\\"focusArea\\":null}}","description":"","fieldname":"image","hidden":"0","link":"","showinpreview":"0","sorting_foreign":"1","tablenames":"tt_content","title":"","uid_foreign":"99","uid_local":"2"}	0	0	0	0	2	100	tt_content	image	1	\N	\N	\N		{"default":{"cropArea":{"x":0,"y":0,"width":1,"height":1},"selectedRatio":"NaN","focusArea":null}}	0	0
9001	999	1764086663	1764086663	0	0	0	0	\N	\N	0	0	0	0	9001	9003	tt_content	image	1	\N	\N	\N		{"default":{"cropArea":{"x":0,"y":0,"width":1,"height":1},"selectedRatio":"NaN","focusArea":null}}	0	1
9002	999	1764086663	1764086663	0	0	0	0	\N	\N	0	0	0	0	9002	9003	tt_content	image	2	\N	\N	\N		{"default":{"cropArea":{"x":0,"y":0,"width":1,"height":1},"selectedRatio":"NaN","focusArea":null}}	0	1
9003	999	1764086663	1764086663	0	0	0	0	\N	\N	0	0	0	0	9001	9004	tt_content	image	1	Gallery Image 1	First image in gallery	Gallery item one		{"default":{"cropArea":{"x":0,"y":0,"width":1,"height":1},"selectedRatio":"NaN","focusArea":null}}	0	1
9004	999	1764086663	1764086663	0	0	0	0	\N	\N	0	0	0	0	9002	9004	tt_content	image	2	Gallery Image 2	Second image in gallery	Gallery item two		{"default":{"cropArea":{"x":0,"y":0,"width":1,"height":1},"selectedRatio":"NaN","focusArea":null}}	0	1
9005	999	1764086663	1764086663	0	0	0	0	\N	\N	0	0	0	0	9003	9004	tt_content	image	3	Gallery Image 3	Third image in gallery	Gallery item three		{"default":{"cropArea":{"x":0,"y":0,"width":1,"height":1},"selectedRatio":"NaN","focusArea":null}}	0	1
9006	999	1764086663	1764086663	0	0	0	0	\N	\N	0	0	0	0	9004	9006	tt_content	assets	1	PDF Documentation	Download the PDF documentation	\N		{"default":{"cropArea":{"x":0,"y":0,"width":1,"height":1},"selectedRatio":"NaN","focusArea":null}}	0	0
9007	999	1764086663	1764086663	0	0	0	0	\N	\N	0	0	0	0	9005	9006	tt_content	assets	2	Word Template	Download the Word template	\N		{"default":{"cropArea":{"x":0,"y":0,"width":1,"height":1},"selectedRatio":"NaN","focusArea":null}}	0	0
9008	999	1764086663	1764086663	0	0	0	0	\N	\N	0	0	0	0	9006	9006	tt_content	assets	3	Data Spreadsheet	Download the Excel spreadsheet with test data	\N		{"default":{"cropArea":{"x":0,"y":0,"width":1,"height":1},"selectedRatio":"NaN","focusArea":null}}	0	0
9009	1000	1765877903	1765877699	0	0	0	0	\N	{"hidden":""}	0	0	0	0	9007	9011	tt_content	image	1	\N	\N	\N		{"default":{"cropArea":{"x":0,"y":0,"width":1,"height":1},"selectedRatio":"NaN","focusArea":null}}	0	0
9010	1000	1765877919	1765877876	0	0	1	0	\N	{"alternative":"","crop":"","description":"","hidden":"","link":"","title":"","uid_local":""}	0	0	0	0	9008	9012	tt_content	image	1	\N	\N	\N		{"default":{"cropArea":{"x":0,"y":0,"width":1,"height":1},"selectedRatio":"NaN","focusArea":null}}	0	0
